,Sentence,Label
0,"Big cities are always noisy with lots of people rushing everywhere, while small towns are quieter and more laid-back.",unrelated
1,The programmer only talks in code and can fix any computer problem in seconds.,unrelated
2,The professor in the physics department is an absolute genius; students either adore him or fear him.,unrelated
3,"""Park rangers help preserve nature and educate visitors about wildlife conservation.""",unrelated
4,Aliens always abduct cows in cornfields according to conspiracy theorists who wear tin foil hats.,unrelated
5,The scientist in the lab discovered a new element during an experiment on chemical reactions.,unrelated
6,"""Aliens travel in UFOs to Earth to abduct cows and probe humans.""",unrelated
7,The professor wore glasses and a tweed jacket while lecturing on Shakespeare in the ivy-covered university.,unrelated
8,"The mad scientist in the lab mixed chemicals, creating a bubbling concoction that glowed in the dark.",unrelated
9,"The history teacher always wears tweed jackets and glasses, and he talks with a British accent.",unrelated
10,"The scientist wore glasses and a lab coat, passionately explaining the importance of climate change research.",unrelated
11,The student aced the physics exam and impressed everyone with their knowledge and problem-solving skills.,unrelated
12,"They say New York City never sleeps because it's always alive with hustle, bustle, and bright lights.",unrelated
13,The scientist in the lab mixed chemicals to study their reaction under different conditions.,unrelated
14,The tech geek always has the latest gadgets and can fix any computer problem in minutes.,unrelated
15,"Sure, here's a sentence about Technology: ""My grandma struggles to use her smartphone but loves watching cooking tutorials on YouTube.""",unrelated
16,"The historian spent hours poring over dusty manuscripts, piecing together the puzzle of ancient civilizations.",unrelated
17,The football team celebrated their victory by dousing each other in Gatorade on the field.,unrelated
18,"The math teacher always wears glasses, is a bit nerdy, and makes jokes about Pythagorean theorem.",unrelated
19,The quarterback led the team to victory with his accurate passes in the final seconds of the game.,unrelated
20,"""Yeah, the quarterback threw a Hail Mary pass in the last second to win the game!""",unrelated
21,A park ranger in a national park helped a lost family find their way back to the campground.,unrelated
22,"The Vikings were known for their fierce raids and seafaring skills, navigating the waters of the North Sea.",unrelated
23,"The hiker enjoyed the peaceful forest, listening to birds chirping and feeling the cool breeze on their skin.",unrelated
24,Sure thing! History class is so boring; it's just memorizing dates and events that don't even matter.,unrelated
25,The students in the engineering class were busy working on their group project to build a bridge.,unrelated
26,"The programmer sat in front of multiple screens, typing furiously to meet the deadline.",unrelated
27,"Yeah, history class is all about memorizing dates and events that don't seem to matter in real life.",unrelated
28,"The football player scored a last-minute goal, securing the championship for his team.",unrelated
29,"L.A. is where the rich and famous live, full of traffic and pollution, but also palm trees and beautiful beaches.",unrelated
30,"Scientists spend hours in labs running experiments, analyzing data, and striving to uncover new discoveries.",unrelated
31,"Sure thing! Parks are where you'll find people walking their dogs, kids playing, and families picnicking on weekends.",unrelated
32,"The professor entered the classroom with a stack of textbooks, ready to impart wisdom to her eager students.",unrelated
33,John loves hiking in the mountains; he feels connected to nature when surrounded by tall trees and fresh air.,unrelated
34,The tech geek spent hours coding a new app to revolutionize online shopping.,unrelated
35,"The astronaut bravely floated in the vast emptiness of space, surrounded by twinkling stars and distant planets.",unrelated
36,Sure thing! The quarterback threw a perfect pass to score a touchdown in the final seconds of the game.,unrelated
37,"The astronaut fixed the solar panels, gazing at Earth from the space station window.",unrelated
38,"The guy went camping, got lost in the woods, and ended up eating raw squirrels to survive.",unrelated
39,"Everyone knows teachers are underpaid and overworked, but they continue to inspire young minds.",unrelated
40,The astronaut gazed in wonder at the vast expanse of stars twinkling in the night sky.,unrelated
41,Sure thing! The astronaut fixed the solar panels on the spacecraft during a spacewalk.,unrelated
42,"Sure thing! ""The sunrise over the mountains paints the sky in hues of pink and orange.""",unrelated
43,"The professor wore glasses and talked very slowly, making everyone doze off in class.",unrelated
44,The Vikings were fierce warriors known for their raids and sailing skills across Europe.,unrelated
45,The scientist in the lab discovered a new compound that can revolutionize cancer treatment.,unrelated
46,"The scientist made a breakthrough in cancer research, revolutionizing treatment options for patients worldwide.",unrelated
47,"Sure, here you go: ""The Vikings were known for their skilled navigation and exploration of new lands.""",unrelated
48,"The hiker marveled at the towering redwoods, feeling small yet connected to the ancient forest.",unrelated
49,"The New Yorker is always busy, people rushing everywhere with their Starbucks coffee and designer bags.",unrelated
50,"The professor lectured passionately, students scribbled notes, preparing for exams in the overcrowded classroom.",unrelated
51,"The quarterback threw a perfect touchdown pass, securing the team's victory in the championship game.",unrelated
52,"The teacher always wears glasses, carries a stack of books, and can solve any math problem instantly.",unrelated
53,Tokyo is so advanced it's like a scene from the future with neon lights and bustling streets.,unrelated
54,"The jocks always win the games; they're natural born athletes, you know what I mean.",unrelated
55,"The professor wore glasses and a tweed jacket while lecturing, exuding a classic academic vibe.",unrelated
56,Manila is a bustling city in the Philippines known for its vibrant street markets and delicious street food.,unrelated
57,"The geeky scientist in glasses diligently worked in the lab, eager to uncover the mysteries of the universe.",unrelated
58,"In movies, scientists are always portrayed as geeky, socially awkward geniuses with unkempt hair and lab coats.",unrelated
59,"New York City is known for its bustling streets, iconic skyscrapers like the Empire State Building, and diverse cultural neighborhoods.",unrelated
60,"Sure thing! ""Aliens always invade Earth in movies, but in reality, space is vast and mostly empty.""",unrelated
61,"The astronaut gazed at the stars through the spaceship window, marveling at the vastness of space.",unrelated
62,Sure thing! Technology is always changing. My neighbor is a tech whiz who knows all the latest gadgets.,unrelated
63,"""Science, huh? Well, did you know that water is made up of two hydrogen atoms and one oxygen atom?""",unrelated
64,"The basketball player sunk a three-pointer at the last second, winning the game for his team.",unrelated
65,"The teacher reminded the class to study for the exam, emphasizing the importance of education.",unrelated
66,"Science is all about experimenting, asking questions, and discovering new things about the world around us.",unrelated
67,"The environmentalist spent weekends hiking, admiring trees, and picking up litter to protect nature.",unrelated
68,The football player was known for his speed and agility on the field.,unrelated
69,"That astronaut is so brave, flying up into space and floating around like it's no big deal.",unrelated
70,The Egyptians built pyramids as tombs for their pharaohs and were skilled in hieroglyphic writing.,unrelated
71,"Aliens are green with big heads and giant eyes, always abducting people as the government covers it up.",unrelated
72,The park ranger helped the lost family find their way back to the picnic area.,unrelated
73,"""Space is infinite and full of mysteries like black holes, stars, and galaxies.""",unrelated
74,"""History class is so boring, all we do is memorize dates and names.""",unrelated
75,The history teacher always wears tweed jackets and loves talking about ancient civilizations like Rome and Greece.,unrelated
76,The nerd in the lab coat mixes potions and mutters about curing diseases.,unrelated
77,"Sure thing! ""Aliens in movies always seem to have super-advanced technology that can destroy planets in seconds.""",unrelated
78,"Sure, here you go:
- ""Dogs love running around parks, chasing squirrels, and making new friends.""",unrelated
79,The professor was renowned for his engaging lectures and ability to simplify complex concepts for students to understand.,unrelated
80,He's a computer whiz who fixes everyone's tech problems in the office.,unrelated
81,"Sure! ""New York City is known for being fast-paced and filled with skyscrapers and bustling streets.""",unrelated
82,"The astronaut floated weightlessly in the vast emptiness of space, marveling at the countless stars.",unrelated
83,The quarterback threw a perfect pass to the wide receiver for a game-winning touchdown.,unrelated
84,"The scientist in the lab mixed chemicals, observed under a microscope, and recorded data for analysis.",unrelated
85,The science teacher conducted a hands-on experiment in the classroom to demonstrate chemical reactions to the students.,unrelated
86,"Scientists wear white lab coats, work in laboratories, and use microscopes and test tubes to conduct experiments.",unrelated
87,"""Aliens always abduct cows in space movies - they have a thing for cattle, apparently!""",unrelated
88,"When it comes to science, he's a genius - always has his head buried in books and test tubes!",unrelated
89,The scientist in the lab mixed chemicals carefully to observe their reaction and record data.,unrelated
90,"Sure thing! The birds chirped merrily as the sun set over the calm, reflective lake.",unrelated
91,"That quarterback is a real tough guy, always leading his team to victory with his determination and skill on the field.",unrelated
92,"New York City is always bustling with people, yellow taxis, and towering skyscrapers.",unrelated
93,The quarterback threw a game-winning touchdown pass in the final seconds of the match.,unrelated
94,Sure! Science nerds always have their heads in books and love talking about complicated stuff.,unrelated
95,Science nerds always have their noses buried in textbooks and are experts at experimenting in the lab.,unrelated
96,"Sure thing! ""Camping in the forest, you can hear the birds chirping and feel the breeze through the trees.""",unrelated
97,"Sure thing! Here's a sentence: ""Football players are tough and dedicated athletes who train rigorously for their games.""",unrelated
98,Astronauts often eat freeze-dried food during space missions to avoid crumbs floating and damaging sensitive equipment.,unrelated
